wrong	correct
Delegate	delegates
ecipse	eclipse
tes	these
sea	noisy
Phnumonia	pneumonia
abo	absorbed
freb	friend
peopel*2	people
airbourne	airborne
aloun	alone
pamphates	pamphlets
contencs	countenance
san_sote	tracksuit
reomentic	romantic
disression	discretion
predadice	prejudice
saund	sound
shesely	scarcely
promest	promised
motiviated	motivated
enginer	engineer
inot	into
fougth	fought
muscels	mussels
agasity	anxiety
buracracy	bureaucracy
congrutulations	congratulations
exstecy	ecstasy
espical	epistle
satisfakson	satisfaction
resoce	resource
continant	continent
everwhere	everywhere
custanemary	customary
delinkquant	delinquent
yonabond	vagabond
dimed	deem
incueds	includes
highdrauwnic	hydraulic
peortry	poetry
saticfacturaly	satisfactorily
wholsome	wholesome
rarther	rather
dickuts	biscuits
anxiousemy	anxiety
erisistable	irresistible
fesctival	festival
telaphone	telephone
predgidice	prejudice
stomo	stomach
aufull	awful
undoubly	undoubtedly
carot	great
thankgiving	thanksgiving
eucuel	equally
concionce	conscience
adviced*2	advised
Phician	physician
couries	curious
defenent	definite
locar	local
symettry	symmetry
auditorum	auditorium
epland	explained
is*2	its
apparient	apparent
lofe	loaf
conciencence	conscientious
specimans	specimens
meloncoly	melancholy
nearse	any
extravagent	extravagant
firery	fiery
secure	schedule
consestane	consistent
dael	deal
sorned	surrounded
sought	sort
atorneys	attorneys
ackcrude	accrued
perlimary	preliminary
pisn	precision
mund	mud
interlect	intellect
tenperary	temporary
magnifsit	magnificent
accomdation	accommodation
life-like	lifelike
dak	back
objet	object
slow	so
desdlition	destination
consencious	conscious
stesticics	statistics
simatry	symmetry
delecate	delicate
agoshion	negotiations
sourse	source
expell	expel
bere_twin	between
murderd	murdered
consentious	conscientious
then	than
deliquant	delinquent
potefl	beautiful
ecconic	economic
temporaly	temporarily
plie	plea
ereplun	aeroplane
bury	buried
sufficiantly	sufficiently
canniballs	cannibals
reverseeasem	enthusiasm
notiesable	noticeable
or	our
flgrcicy	flagrancy
eafter	chapter
theifs	thieves
necessaryily	necessarily
perimete	permanent
gar	jar
hasld	held
elminate	eliminate
bueful	beautiful
case	coarse
sackalliges	sacrilegious
easyly	easily
defanent	definite
bycly	bicycle
off*4	of
cuaritains	curtains
merterly	materially
sam	sure
magnfacant	magnificent
itsself	itself
sperical	spiritual
fanit	fit
conseal	counsel
distrod	destroyed
fasantion	fascination
gernal	colonel
indeqiately	indefinitely
laterst	latest
we	with
hers	hedge
empotly	immediately
inched	instruments
all_wright	all_right
fraturnilly	fraternally
butful	beautiful
seypliment	supplement
patern	pattern
affectioned	affectionate
tournment	tournament
dan	behind
siety	city
doc	back
afanat	accident
complextion	complexion
predict	prejudice
afshionely	affectionately
galpt	galloped
show	should
aprocimately	approximately
mude	mud
strarw	straw
atenment	altimeter
violience	violence
vagenbond	vagabond
schual	schedule
chery	cherry
powing	poems
give	gift
brianer	brainier
af	of
magnifist	magnificent
pokits	pockets
Satuarday	Saturday
cod*3	could
equarly	equally
screem	scream
hase*2	has
imadeatly	immediately
techinial	technical
